// PatSize	  TextSize	  Naive-RT	    KMP-RT
      1000	    730000	      7679	      6744
     10000	    730000	     10255	      6593
    100000	    730000	     19118	      5052
        10	    740000	      6599	     55807
       100	    740000	      6512	     23233
      1000	    740000	      6770	      6319
     10000	    740000	    166017	      4830
    100000	    740000	    344948	      3978
        10	    750000	      6428	      5488
       100	    750000	      6761	      8018
      1000	    750000	      6614	      5515
     10000	    750000	      7476	      5176
    100000	    750000	     13191	      6457
        10	    760000	      6693	      5319
       100	    760000	      6997	      5296
      1000	    760000	      7533	      5568
     10000	    760000	      7551	      5331
    100000	    760000	     13869	      4080
        10	    770000	      7054	      5448
       100	    770000	      6829	      5654
      1000	    770000	      6672	      5298
     10000	    770000	      7780	      5194
    100000	    770000	     13858	      5322
        10	    780000	     13257	      5868
       100	    780000	     18349	      6254
      1000	    780000	     14358	      5884
     10000	    780000	     20717	      5270
    100000	    780000	     29899	      4669
        10	    790000	      7083	      8303
       100	    790000	      7071	      6802
      1000	    790000	      7884	      6334
     10000	    790000	      8159	      5116
    100000	    790000	     24384	      4283
        10	    800000	      7176	      5865
       100	    800000	      7393	      6093
      1000	    800000	      7468	      5917
     10000	    800000	      7971	      5453
    100000	    800000	     19339	      5118
        10	    810000	      6970	      8627
       100	    810000	      7159	      5984
      1000	    810000	      7310	      6664
     10000	    810000	      8063	      5944
    100000	    810000	     14758	      4356
        10	    820000	      7324	      6395
       100	    820000	      7138	      5935
      1000	    820000	      7585	      5820
     10000	    820000	     12695	      7788
    100000	    820000	     22485	      5578
        10	    830000	     11773	      5752
       100	    830000	      8532	      6056
      1000	    830000	     10074	      7906
     10000	    830000	      9587	      8224
    100000	    830000	     15193	      5075
        10	    840000	      9284	      5982
       100	    840000	      9104	      7117
      1000	    840000	      7748	      7990
     10000	    840000	      8273	      7208
    100000	    840000	     15387	      6151
        10	    850000	      8567	      7089
       100	    850000	      9489	      6472
      1000	    850000	      7904	      7134
     10000	    850000	      8813	      5498
    100000	    850000	     18001	      4886
        10	    860000	     10160	      6940
       100	    860000	      8751	      8648
      1000	    860000	      8519	      6307
     10000	    860000	     10720	      5869
    100000	    860000	     18705	      4334
